table_name,column_name,data_type
organizations,STATE,VARCHAR
organizations,ZIP,VARCHAR
organizations,LAT,VARCHAR
organizations,LON,VARCHAR
organizations,PHONE,VARCHAR
organizations,REVENUE,VARCHAR
organizations,UTILIZATION,VARCHAR
patients,Id,VARCHAR
patients,BIRTHDATE,VARCHAR
patients,DEATHDATE,VARCHAR
patients,SSN,VARCHAR
patients,DRIVERS,VARCHAR
patients,PASSPORT,VARCHAR
patients,PREFIX,VARCHAR
patients,FIRST,VARCHAR
patients,LAST,VARCHAR
patients,SUFFIX,VARCHAR
patients,MAIDEN,VARCHAR
patients,MARITAL,VARCHAR
patients,RACE,VARCHAR
patients,ETHNICITY,VARCHAR
patients,GENDER,VARCHAR
patients,BIRTHPLACE,VARCHAR
patients,ADDRESS,VARCHAR
patients,CITY,VARCHAR
patients,STATE,VARCHAR
patients,COUNTY,VARCHAR
patients,ZIP,VARCHAR
patients,LAT,VARCHAR
patients,LON,VARCHAR
patients,HEALTHCARE_EXPENSES,VARCHAR
patients,HEALTHCARE_COVERAGE,VARCHAR
payer_transitions,PATIENT,VARCHAR
payer_transitions,MEMBERID,VARCHAR
payer_transitions,START_YEAR,VARCHAR
payer_transitions,END_YEAR,VARCHAR
payer_transitions,PAYER,VARCHAR
payer_transitions,SECONDARY_PAYER,VARCHAR
payer_transitions,OWNERSHIP,VARCHAR
payer_transitions,OWNERNAME,VARCHAR
payers,Id,VARCHAR
payers,NAME,VARCHAR
payers,ADDRESS,VARCHAR
payers,CITY,VARCHAR
payers,STATE_HEADQUARTERED,VARCHAR
payers,ZIP,VARCHAR
payers,PHONE,VARCHAR
payers,AMOUNT_COVERED,VARCHAR
payers,AMOUNT_UNCOVERED,VARCHAR
payers,REVENUE,VARCHAR
payers,COVERED_ENCOUNTERS,VARCHAR
payers,UNCOVERED_ENCOUNTERS,VARCHAR
payers,COVERED_MEDICATIONS,VARCHAR
payers,UNCOVERED_MEDICATIONS,VARCHAR
payers,COVERED_PROCEDURES,VARCHAR
payers,UNCOVERED_PROCEDURES,VARCHAR
payers,COVERED_IMMUNIZATIONS,VARCHAR
payers,UNCOVERED_IMMUNIZATIONS,VARCHAR
payers,UNIQUE_CUSTOMERS,VARCHAR
payers,QOLS_AVG,VARCHAR
payers,MEMBER_MONTHS,VARCHAR
procedures,START,VARCHAR
procedures,STOP,VARCHAR
procedures,PATIENT,VARCHAR
procedures,ENCOUNTER,VARCHAR
procedures,CODE,VARCHAR
procedures,DESCRIPTION,VARCHAR
procedures,BASE_COST,VARCHAR
procedures,REASONCODE,VARCHAR
procedures,REASONDESCRIPTION,VARCHAR
providers,Id,VARCHAR
providers,ORGANIZATION,VARCHAR
providers,NAME,VARCHAR
providers,GENDER,VARCHAR
providers,SPECIALITY,VARCHAR
providers,ADDRESS,VARCHAR
providers,CITY,VARCHAR
providers,STATE,VARCHAR
providers,ZIP,VARCHAR
providers,LAT,VARCHAR
providers,LON,VARCHAR
providers,UTILIZATION,VARCHAR
supplies,DATE,VARCHAR
supplies,PATIENT,VARCHAR
supplies,ENCOUNTER,VARCHAR
supplies,CODE,VARCHAR
supplies,DESCRIPTION,VARCHAR
supplies,QUANTITY,VARCHAR
